bib_id,title,author_year,type,related_people,topic_tags,notes,url
B001,Versuch einer Anweisung die Flöte traversiere zu spielen / On Playing the Flute,"Johann Joachim Quantz, 1752",treatise / method,Johann Joachim Quantz,baroque flute; ornamentation; articulation; rhetoric; historical performance,Foundational 18th-century source for traverso technique and style.,https://search.worldcat.org/search?q=Quantz+On+Playing+the+Flute
B002,The Flute and Flute-Playing,"Theobald Boehm, 19th century; English translations",instrument design / acoustics / method,Theobald Boehm,Boehm system; acoustics; flute construction; tone-hole design,Primary source for the modern Boehm flute and acoustical thinking.,https://search.worldcat.org/search?q=Theobald+Boehm+The+Flute+and+Flute-Playing
B003,Méthode complète de flûte,"Paul Taffanel and Philippe Gaubert, 20th century",method,Paul Taffanel; Philippe Gaubert,French school; technique; tone; daily studies,Core method of the modern French flute school.,https://search.worldcat.org/search?q=Taffanel+Gaubert+Methode+complete+de+flute
B004,17 Grands exercices journaliers de mécanisme,Paul Taffanel and Philippe Gaubert,daily studies,Paul Taffanel; Philippe Gaubert,technique; scales; arpeggios; daily practice,One of the most universal daily technical practice sources.,https://search.worldcat.org/search?q=Taffanel+Gaubert+17+grands+exercices+journaliers
B005,De la sonorité: art et technique,"Marcel Moyse, 1934",tone study,Marcel Moyse,tone; sonority; French school; embouchure,Canonical Moyse tone-development text.,https://search.worldcat.org/search?q=Marcel+Moyse+De+la+sonorite
B006,Tone Development Through Interpretation,Marcel Moyse,tone / interpretation studies,Marcel Moyse,tone; phrasing; vocal style; interpretation,Melodic studies connecting tone production to musical meaning.,https://search.worldcat.org/search?q=Marcel+Moyse+Tone+Development+Through+Interpretation
B007,Practice Books for the Flute,"Trevor Wye, 20th century",method series,Trevor Wye,tone; technique; articulation; intonation; breathing; scales,Widely used modern pedagogical series for structured practice.,https://search.worldcat.org/search?q=Trevor+Wye+Practice+Books+for+the+Flute
B008,Proper Flute Playing,Trevor Wye,pedagogy book,Trevor Wye,fundamentals; tone; technique; pedagogy,Concise guide to fundamentals and common student problems.,https://search.worldcat.org/search?q=Trevor+Wye+Proper+Flute+Playing
B009,Marcel Moyse: An Extraordinary Man,Trevor Wye,biography / pedagogy history,Marcel Moyse; Trevor Wye,Moyse; French school; pedagogy history,Important English-language source on Moyse's teaching personality and influence.,https://search.worldcat.org/search?q=Trevor+Wye+Marcel+Moyse+An+Extraordinary+Man
B010,The Simple Flute: From A to Z,"Michel Debost, 2002",pedagogy book,Michel Debost,French school; teaching; tone; articulation; practice,Alphabetical reflections and advice from a major French-American professor.,https://search.worldcat.org/search?q=Michel+Debost+The+Simple+Flute
