person_id,name_en,topic_keyword
FM001,Johann Joachim Quantz,baroque articulation
FM001,Johann Joachim Quantz,ornamentation
FM001,Johann Joachim Quantz,rhetoric
FM001,Johann Joachim Quantz,traverso technique
FM001,Johann Joachim Quantz,historical pedagogy
FM001,Johann Joachim Quantz,flautist
FM001,Johann Joachim Quantz,composer
FM001,Johann Joachim Quantz,pedagogue
FM001,Johann Joachim Quantz,flute maker
FM001,Johann Joachim Quantz,18th-century German traverso tradition
FM001,Johann Joachim Quantz,teacher of Frederick the Great
FM002,Theobald Boehm,flute acoustics
FM002,Theobald Boehm,mechanism
FM002,Theobald Boehm,tone-hole design
FM002,Theobald Boehm,flute construction
FM002,Theobald Boehm,modern instrument history
FM002,Theobald Boehm,flautist
FM002,Theobald Boehm,composer
FM002,Theobald Boehm,inventor
FM002,Theobald Boehm,flute maker
FM002,Theobald Boehm,Boehm-system modern flute design
FM002,Theobald Boehm,Munich school
FM003,Charles Nicholson,English flute tone
FM003,Charles Nicholson,keyed flute
FM003,Charles Nicholson,19th-century virtuosity
FM003,Charles Nicholson,Nicholson-style embouchure
FM003,Charles Nicholson,flautist
FM003,Charles Nicholson,composer
FM003,Charles Nicholson,pedagogue
FM003,Charles Nicholson,English pre-Boehm flute tradition
FM003,Charles Nicholson,powerful tone school
FM004,Jean-Louis Tulou,French method tradition
FM004,Jean-Louis Tulou,concours pieces
FM004,Jean-Louis Tulou,simple-system flute
FM004,Jean-Louis Tulou,romantic phrasing
FM004,Jean-Louis Tulou,flautist
FM004,Jean-Louis Tulou,composer
FM004,Jean-Louis Tulou,Paris Conservatoire professor
FM004,Jean-Louis Tulou,Early French Conservatoire school
FM004,Jean-Louis Tulou,simple-system flute tradition
FM005,Louis Dorus,Boehm flute in France
FM005,Louis Dorus,French orchestral school
FM005,Louis Dorus,19th-century pedagogy
FM005,Louis Dorus,flautist
FM005,Louis Dorus,Paris Conservatoire professor
FM005,Louis Dorus,French Boehm-flute adoption
FM005,Louis Dorus,Dorus-Gaubert/Taffanel ancestry
FM006,Joseph-Henri Altès,French technical method
FM006,Joseph-Henri Altès,scales
FM006,Joseph-Henri Altès,etudes
FM006,Joseph-Henri Altès,conservatoire pedagogy
FM006,Joseph-Henri Altès,flautist
FM006,Joseph-Henri Altès,composer
FM006,Joseph-Henri Altès,Paris Conservatoire professor
FM006,Joseph-Henri Altès,French Conservatoire method lineage
FM007,Paul Taffanel,French tone
FM007,Paul Taffanel,phrasing
FM007,Paul Taffanel,daily exercises
FM007,Paul Taffanel,chamber music revival
FM007,Paul Taffanel,modern flute pedagogy
FM007,Paul Taffanel,flautist
FM007,Paul Taffanel,conductor
FM007,Paul Taffanel,Paris Conservatoire professor
FM007,Paul Taffanel,Modern French flute school founder
FM007,Paul Taffanel,teacher of Gaubert and Hennebains
FM008,Philippe Gaubert,French repertoire
FM008,Philippe Gaubert,sonatas
FM008,Philippe Gaubert,tone
FM008,Philippe Gaubert,phrasing
FM008,Philippe Gaubert,pedagogy
FM008,Philippe Gaubert,flautist
FM008,Philippe Gaubert,composer
FM008,Philippe Gaubert,conductor
FM008,Philippe Gaubert,Paris Conservatoire professor
FM008,Philippe Gaubert,Taffanel student
FM008,Philippe Gaubert,French Conservatoire school
FM009,Adolphe Hennebains,French sonority
FM009,Adolphe Hennebains,Conservatoire lineage
FM009,Adolphe Hennebains,early modern teaching
FM009,Adolphe Hennebains,flautist
FM009,Adolphe Hennebains,Paris Conservatoire professor
FM009,Adolphe Hennebains,Taffanel lineage
FM009,Adolphe Hennebains,teacher of Marcel Moyse and René Le Roy
FM010,Georges Barrère,French-American flute school
FM010,Georges Barrère,chamber music
FM010,Georges Barrère,Varèse Density 21.5
FM010,Georges Barrère,American modernism
FM010,Georges Barrère,flautist
FM010,Georges Barrère,chamber musician
FM010,Georges Barrère,educator
FM010,Georges Barrère,Taffanel student
FM010,Georges Barrère,French school transplanted to the United States
FM011,Louis Fleury,Debussy
FM011,Louis Fleury,solo flute repertoire
FM011,Louis Fleury,early 20th-century French modernism
FM011,Louis Fleury,flautist
FM011,Louis Fleury,contemporary music advocate
FM011,Louis Fleury,French school
FM011,Louis Fleury,Debussy circle
FM012,Marcel Moyse,sonority
FM012,Marcel Moyse,vocal phrasing
FM012,Marcel Moyse,tone development
FM012,Marcel Moyse,melodic studies
FM012,Marcel Moyse,masterclass pedagogy
FM012,Marcel Moyse,flautist
FM012,Marcel Moyse,pedagogue
FM012,Marcel Moyse,method author
FM012,Marcel Moyse,Hennebains and Taffanel-Gaubert French school
FM012,Marcel Moyse,Marlboro and Vermont teaching legacy
FM013,René Le Roy,French chamber music
FM013,René Le Roy,tone
FM013,René Le Roy,phrasing
FM013,René Le Roy,transatlantic pedagogy
FM013,René Le Roy,flautist
FM013,René Le Roy,chamber musician
FM013,René Le Roy,professor
FM013,René Le Roy,French school
FM013,René Le Roy,Hennebains lineage
FM014,Gaston Crunelle,French pedagogy
FM014,Gaston Crunelle,concours pieces
FM014,Gaston Crunelle,postwar French flute school
FM014,Gaston Crunelle,flautist
FM014,Gaston Crunelle,Paris Conservatoire professor
FM014,Gaston Crunelle,French Conservatoire lineage
FM014,Gaston Crunelle,teacher of Rampal
FM014,Gaston Crunelle,Larrieu and Debost
FM015,Leonardo De Lorenzo,flute history
FM015,Leonardo De Lorenzo,virtuoso etudes
FM015,Leonardo De Lorenzo,Italian-American pedagogy
FM015,Leonardo De Lorenzo,flautist
FM015,Leonardo De Lorenzo,composer
FM015,Leonardo De Lorenzo,historian
FM015,Leonardo De Lorenzo,professor
FM015,Leonardo De Lorenzo,Italian-American flute tradition
FM016,Georges Laurent,French-American orchestral style
FM016,Georges Laurent,Boston school
FM016,Georges Laurent,tone and orchestral repertoire
FM016,Georges Laurent,flautist
FM016,Georges Laurent,orchestral principal
FM016,Georges Laurent,professor
FM016,Georges Laurent,French school in Boston
FM017,William Kincaid,American tone school
FM017,William Kincaid,orchestral excerpts
FM017,William Kincaid,teaching lineage
FM017,William Kincaid,Philadelphia sound
FM017,William Kincaid,flautist
FM017,William Kincaid,orchestral principal
FM017,William Kincaid,Curtis professor
FM017,William Kincaid,American school
FM017,William Kincaid,Philadelphia Orchestra
FM017,William Kincaid,Curtis lineage
FM018,Joseph Mariano,Eastman teaching lineage
FM018,Joseph Mariano,American repertoire
FM018,Joseph Mariano,orchestral sound
FM018,Joseph Mariano,flautist
FM018,Joseph Mariano,Eastman professor
FM018,Joseph Mariano,orchestral principal
FM018,Joseph Mariano,Kincaid/Curtis lineage
FM018,Joseph Mariano,Eastman school
FM019,Julius Baker,American orchestral playing
FM019,Julius Baker,Mozart and Bach
FM019,Julius Baker,teaching lineage
FM019,Julius Baker,sound concept
FM019,Julius Baker,flautist
FM019,Julius Baker,orchestral principal
FM019,Julius Baker,Juilliard/Curtis professor
FM019,Julius Baker,Kincaid and Mariano lineage
FM019,Julius Baker,American orchestral school
FM020,Jean-Pierre Rampal,solo flute revival
FM020,Jean-Pierre Rampal,French repertoire
FM020,Jean-Pierre Rampal,baroque revival on modern flute
FM020,Jean-Pierre Rampal,recording history
FM020,Jean-Pierre Rampal,flautist
FM020,Jean-Pierre Rampal,soloist
FM020,Jean-Pierre Rampal,professor
FM020,Jean-Pierre Rampal,Crunelle and French Conservatoire lineage
FM021,Alain Marion,French sonority
FM021,Alain Marion,competition repertoire
FM021,Alain Marion,modern French pedagogy
FM021,Alain Marion,flautist
FM021,Alain Marion,Paris Conservatoire professor
FM021,Alain Marion,French Conservatoire school
FM021,Alain Marion,Rampal and Moyse influence
FM022,Maxence Larrieu,French repertoire
FM022,Maxence Larrieu,concours lineage
FM022,Maxence Larrieu,tone and elegance
FM022,Maxence Larrieu,chamber music
FM022,Maxence Larrieu,flautist
FM022,Maxence Larrieu,soloist
FM022,Maxence Larrieu,professor
FM022,Maxence Larrieu,Crunelle/French school
FM023,Aurèle Nicolet,Bach
FM023,Aurèle Nicolet,Berio
FM023,Aurèle Nicolet,Stockhausen
FM023,Aurèle Nicolet,contemporary flute
FM023,Aurèle Nicolet,orchestral sound
FM023,Aurèle Nicolet,flautist
FM023,Aurèle Nicolet,orchestral principal
FM023,Aurèle Nicolet,professor
FM023,Aurèle Nicolet,contemporary music advocate
FM023,Aurèle Nicolet,French and Swiss-German modern school
